Year,Month,System,TotalVolume_ML
2010,12,Melbourne,960925
2010,12,Murray,3711920
2010,12,Ovens,34570
2010,12,South Gippsland,8012
2010,12,Thomson/Macalister,170414
2010,12,Werribee,60605
2011,1,,0
2011,1,Ballarat,50960
2011,1,Bendigo,128289
2011,1,Broken,40403
2011,1,Campaspe,253045
2011,1,Geelong,73607
2011,1,Glenelg/Wimmera,323890
2011,1,Goulburn,3085799
2011,1,Latrobe,232406
2011,1,Loddon,222398
2011,1,Maribyrnong,16900
2011,1,Melbourne,959644
2011,1,Murray,3607380
2011,1,Ovens,35139
2011,1,South Gippsland,7495
2011,1,Thomson/Macalister,159631
2011,1,Werribee,66519
2011,2,,0
2011,2,Ballarat,54774
2011,2,Bendigo,126982
2011,2,Broken,40539
2011,2,Campaspe,251393
2011,2,Geelong,74030
2011,2,Glenelg/Wimmera,314400
2011,2,Goulburn,3188951
2011,2,Latrobe,233942
2011,2,Loddon,222535
2011,2,Maribyrnong,16884
2011,2,Melbourne,968377
2011,2,Murray,3770400
2011,2,Ovens,28530
2011,2,South Gippsland,7652
2011,2,Thomson/Macalister,159139
2011,2,Werribee,66724
2011,3,,0
2011,3,Ballarat,54154
2011,3,Bendigo,124678
2011,3,Broken,40392
2011,3,Campaspe,247352
2011,3,Geelong,71442
2011,3,Glenelg/Wimmera,305160
2011,3,Goulburn,3208143
2011,3,Latrobe,235606
2011,3,Loddon,219067
2011,3,Maribyrnong,16731
2011,3,Melbourne,958321
2011,3,Murray,3847470
2011,3,Ovens,27631
2011,3,South Gippsland,7254
2011,3,Thomson/Macalister,166613
2011,3,Werribee,64588
2011,4,,0
2011,4,Ballarat,53467
2011,4,Bendigo,123830
2011,4,Broken,40366
2011,4,Campaspe,243837
2011,4,Geelong,69406
2011,4,Glenelg/Wimmera,305030
2011,4,Goulburn,3214441
2011,4,Latrobe,234504
2011,4,Loddon,214685
2011,4,Maribyrnong,16654
2011,4,Melbourne,962143
2011,4,Murray,3847470
2011,4,Ovens,27521
2011,4,South Gippsland,8356
2011,4,Thomson/Macalister,150474
2011,4,Werribee,63043
2011,5,,0
2011,5,Ballarat,52851
2011,5,Bendigo,122597
2011,5,Broken,40545
2011,5,Campaspe,242880
2011,5,Geelong,68972
2011,5,Glenelg/Wimmera,300140
2011,5,Goulburn,3192557
2011,5,Latrobe,238741
2011,5,Loddon,215647
2011,5,Maribyrnong,16624
2011,5,Melbourne,975794
2011,5,Murray,3839123
2011,5,Ovens,26123
2011,5,South Gippsland,8373
2011,5,Thomson/Macalister,142637
2011,5,Werribee,62531
2011,6,,0
2011,6,Ballarat,53500
2011,6,Bendigo,123733
2011,6,Broken,40567
2011,6,Campaspe,240769
2011,6,Geelong,72416
2011,6,Glenelg/Wimmera,305530
2011,6,Goulburn,3315719
2011,6,Latrobe,241460
2011,6,Loddon,215613
2011,6,Maribyrnong,16716
2011,6,Melbourne,1006944
2011,6,Murray,3926160
2011,6,Ovens,27567
2011,6,South Gippsland,8373
2011,6,Thomson/Macalister,145965
2011,6,Werribee,66275
2011,7,,0
2011,7,Ballarat,56513
2011,7,Bendigo,126825
2011,7,Broken,40730
2011,7,Campaspe,250078
2011,7,Geelong,82480
2011,7,Glenelg/Wimmera,333470
2011,7,Goulburn,3436760
2011,7,Latrobe,243584
2011,7,Loddon,221411
2011,7,Maribyrnong,17070
2011,7,Melbourne,1073494
2011,7,Murray,4024920
2011,7,Ovens,28247
2011,7,South Gippsland,8373
2011,7,Thomson/Macalister,144374
2011,7,Werribee,64844
2011,8,,0
2011,8,Ballarat,56637
2011,8,Bendigo,127167
2011,8,Broken,40651
2011,8,Campaspe,248620
2011,8,Geelong,88049
2011,8,Glenelg/Wimmera,366710
2011,8,Goulburn,3612725
2011,8,Latrobe,243364
2011,8,Loddon,229377
2011,8,Maribyrnong,17430
2011,8,Melbourne,1109500
2011,8,Murray,4115000
2011,8,Ovens,28309
2011,8,South Gippsland,8373
2011,8,Thomson/Macalister,150798
2011,8,Werribee,65325
2011,9,,0
2011,9,Ballarat,56415
2011,9,Bendigo,127990
2011,9,Broken,41542
2011,9,Campaspe,253012
2011,9,Geelong,86533
2011,9,Glenelg/Wimmera,365360
2011,9,Goulburn,3666325
2011,9,Latrobe,243838
2011,9,Loddon,230728
2011,9,Maribyrnong,18016
2011,9,Melbourne,1126052
2011,9,Murray,4189000
2011,9,Ovens,32488
2011,9,South Gippsland,8372
2011,9,Thomson/Macalister,168502
2011,9,Werribee,64742
2011,10,,0
2011,10,Ballarat,56582
2011,10,Bendigo,126510
2011,10,Broken,40319
2011,10,Campaspe,244027
2011,10,Geelong,85500
2011,10,Glenelg/Wimmera,362630
2011,10,Goulburn,3743839
2011,10,Latrobe,243989
2011,10,Loddon,229339
2011,10,Maribyrnong,18403
2011,10,Melbourne,1150654
2011,10,Murray,4241700
2011,10,Ovens,36541
2011,10,South Gippsland,8350
2011,10,Thomson/Macalister,174278
2011,10,Werribee,64848
2011,11,,0
2011,11,Ballarat,56406
2011,11,Bendigo,124833
2011,11,Broken,40357
2011,11,Campaspe,236889
2011,11,Geelong,84519
2011,11,Glenelg/Wimmera,347430
2011,11,Goulburn,3706861
2011,11,Latrobe,242384
2011,11,Loddon,226608
2011,11,Maribyrnong,18436
2011,11,Melbourne,1180002
2011,11,Murray,4230310
2011,11,Ovens,37147
2011,11,South Gippsland,8373
2011,11,Thomson/Macalister,176050
2011,11,Werribee,64145
2011,12,,0
2011,12,Ballarat,55697
2011,12,Bendigo,121861
2011,12,Broken,39584
2011,12,Campaspe,229702
2011,12,Geelong,80140
2011,12,Glenelg/Wimmera,343740
2011,12,Goulburn,3619883
2011,12,Latrobe,244856
2011,12,Loddon,218161
2011,12,Maribyrnong,18112
2011,12,Melbourne,1197763
2011,12,Murray,4073020
2011,12,Ovens,36865
2011,12,South Gippsland,8024
2011,12,Thomson/Macalister,173395
2011,12,Werribee,62627
2012,1,,0
2012,1,Ballarat,53499
2012,1,Bendigo,116170
2012,1,Broken,37910
2012,1,Campaspe,220870
2012,1,Geelong,72178
2012,1,Glenelg/Wimmera,318340
2012,1,Goulburn,3450271
2012,1,Latrobe,243753
2012,1,Loddon,208418
2012,1,Maribyrnong,17729
2012,1,Melbourne,1181665
2012,1,Murray,3826760
2012,1,Ovens,36956
2012,1,South Gippsland,7345
2012,1,Thomson/Macalister,147084
