Station ID,Station Name,Year,Month,Rainfall (mm),Latitude,Longitude
076031,MILDURA AIRPORT,2017,1,29.4,-34.23,142.08
076031,MILDURA AIRPORT,2017,2,5.2,-34.23,142.08
076031,MILDURA AIRPORT,2017,3,4.2,-34.23,142.08
076031,MILDURA AIRPORT,2017,4,44,-34.23,142.08
076031,MILDURA AIRPORT,2017,5,19.6,-34.23,142.08
076031,MILDURA AIRPORT,2017,6,1.8,-34.23,142.08
076031,MILDURA AIRPORT,2017,7,4,-34.23,142.08
076031,MILDURA AIRPORT,2017,8,34,-34.23,142.08
076031,MILDURA AIRPORT,2017,9,4,-34.23,142.08
076031,MILDURA AIRPORT,2017,10,23,-34.23,142.08
076031,MILDURA AIRPORT,2017,11,55.4,-34.23,142.08
076031,MILDURA AIRPORT,2017,12,45,-34.23,142.08
076031,MILDURA AIRPORT,2018,1,3.4,-34.23,142.08
076031,MILDURA AIRPORT,2018,2,0.2,-34.23,142.08
076031,MILDURA AIRPORT,2018,3,2.2,-34.23,142.08
076031,MILDURA AIRPORT,2018,4,1.8,-34.23,142.08
076031,MILDURA AIRPORT,2018,5,17.4,-34.23,142.08
076031,MILDURA AIRPORT,2018,6,19.2,-34.23,142.08
076031,MILDURA AIRPORT,2018,7,3.4,-34.23,142.08
076031,MILDURA AIRPORT,2018,8,10.6,-34.23,142.08
076031,MILDURA AIRPORT,2018,9,0.8,-34.23,142.08
076031,MILDURA AIRPORT,2018,10,12.2,-34.23,142.08
076031,MILDURA AIRPORT,2018,11,19.2,-34.23,142.08
076031,MILDURA AIRPORT,2018,12,44.6,-34.23,142.08
076031,MILDURA AIRPORT,2019,1,2.8,-34.23,142.08
076031,MILDURA AIRPORT,2019,2,2.8,-34.23,142.08
076031,MILDURA AIRPORT,2019,3,3,-34.23,142.08
076031,MILDURA AIRPORT,2019,4,1.2,-34.23,142.08
076031,MILDURA AIRPORT,2019,5,49.5,-34.23,142.08
076031,MILDURA AIRPORT,2019,6,15.6,-34.23,142.08
076031,MILDURA AIRPORT,2019,7,10.4,-34.23,142.08
076031,MILDURA AIRPORT,2019,8,5.4,-34.23,142.08
076031,MILDURA AIRPORT,2019,9,12,-34.23,142.08
076031,MILDURA AIRPORT,2019,10,0,-34.23,142.08
076031,MILDURA AIRPORT,2019,11,13.8,-34.23,142.08
076031,MILDURA AIRPORT,2019,12,2.6,-34.23,142.08
076031,MILDURA AIRPORT,2020,1,2.8,-34.23,142.08
076031,MILDURA AIRPORT,2020,2,11,-34.23,142.08
076031,MILDURA AIRPORT,2020,3,27.6,-34.23,142.08
076031,MILDURA AIRPORT,2020,4,48.6,-34.23,142.08
076031,MILDURA AIRPORT,2020,5,9.6,-34.23,142.08
076031,MILDURA AIRPORT,2020,6,8.4,-34.23,142.08
076031,MILDURA AIRPORT,2020,7,6.2,-34.23,142.08
076031,MILDURA AIRPORT,2020,8,41.6,-34.23,142.08
076031,MILDURA AIRPORT,2020,9,25,-34.23,142.08
076031,MILDURA AIRPORT,2020,10,59,-34.23,142.08
076031,MILDURA AIRPORT,2020,11,5.2,-34.23,142.08
076031,MILDURA AIRPORT,2020,12,8.6,-34.23,142.08
076031,MILDURA AIRPORT,2021,1,45,-34.23,142.08
076031,MILDURA AIRPORT,2021,2,0.2,-34.23,142.08
076031,MILDURA AIRPORT,2021,3,4.8,-34.23,142.08
076031,MILDURA AIRPORT,2021,4,0,-34.23,142.08
076031,MILDURA AIRPORT,2021,5,8,-34.23,142.08
076031,MILDURA AIRPORT,2021,6,30.6,-34.23,142.08
076031,MILDURA AIRPORT,2021,7,32.3,-34.23,142.08
076031,MILDURA AIRPORT,2021,8,13.2,-34.23,142.08
076031,MILDURA AIRPORT,2021,9,15.9,-34.23,142.08
076031,MILDURA AIRPORT,2021,10,16.9,-34.23,142.08
076031,MILDURA AIRPORT,2021,11,66.3,-34.23,142.08
076031,MILDURA AIRPORT,2021,12,0.6,-34.23,142.08
076031,MILDURA AIRPORT,2022,1,87.5,-34.23,142.08
076031,MILDURA AIRPORT,2022,2,7.2,-34.23,142.08
076031,MILDURA AIRPORT,2022,3,9.8,-34.23,142.08
076031,MILDURA AIRPORT,2022,4,44.3,-34.23,142.08
076031,MILDURA AIRPORT,2022,5,52.2,-34.23,142.08
076031,MILDURA AIRPORT,2022,6,18,-34.23,142.08
076031,MILDURA AIRPORT,2022,7,3.8,-34.23,142.08
076031,MILDURA AIRPORT,2022,8,41.4,-34.23,142.08
076031,MILDURA AIRPORT,2022,9,55.9,-34.23,142.08
076031,MILDURA AIRPORT,2022,10,110,-34.23,142.08
076031,MILDURA AIRPORT,2022,11,65.2,-34.23,142.08
076031,MILDURA AIRPORT,2022,12,10.8,-34.23,142.08
076031,MILDURA AIRPORT,2023,1,19.7,-34.23,142.08
076031,MILDURA AIRPORT,2023,2,0,-34.23,142.08
076031,MILDURA AIRPORT,2023,3,7.3,-34.23,142.08
076031,MILDURA AIRPORT,2023,4,22.7,-34.23,142.08
076031,MILDURA AIRPORT,2023,5,12.1,-34.23,142.08
076031,MILDURA AIRPORT,2023,6,79.4,-34.23,142.08
076031,MILDURA AIRPORT,2023,7,34.2,-34.23,142.08
